================================================================================
UPLOADING WITH ULTRA-SAFE SETTINGS
Starting from embedding 14600
Batch size: 100 | Timeout: 300s | Pause: 10s
================================================================================

Loaded 19731 embeddings to upload
Uploading in 198 batches of 100...
Estimated time: 49.5 minutes

[1/198] Uploading embeddings 14600-14700... ✓ Success
[2/198] Uploading embeddings 14700-14800... ✓ Success
[3/198] Uploading embeddings 14800-14900... ✓ Success
[4/198] Uploading embeddings 14900-15000... ✓ Success
[5/198] Uploading embeddings 15000-15100... ✓ Success
[6/198] Uploading embeddings 15100-15200... ✓ Success
[7/198] Uploading embeddings 15200-15300... ✓ Success
[8/198] Uploading embeddings 15300-15400... ✓ Success
[9/198] Uploading embeddings 15400-15500... ✓ Success
[10/198] Uploading embeddings 15500-15600... ✓ Success
[11/198] Uploading embeddings 15600-15700... ✓ Success
[12/198] Uploading embeddings 15700-15800... ✓ Success
[13/198] Uploading embeddings 15800-15900... ✓ Success
[14/198] Uploading embeddings 15900-16000... ✓ Success
[15/198] Uploading embeddings 16000-16100... ✓ Success
[16/198] Uploading embeddings 16100-16200... ✓ Success
[17/198] Uploading embeddings 16200-16300... ✓ Success
[18/198] Uploading embeddings 16300-16400... ✓ Success
[19/198] Uploading embeddings 16400-16500... ✓ Success
[20/198] Uploading embeddings 16500-16600... ✓ Success
[21/198] Uploading embeddings 16600-16700... ✓ Success
[22/198] Uploading embeddings 16700-16800... ✓ Success
[23/198] Uploading embeddings 16800-16900... ✓ Success
[24/198] Uploading embeddings 16900-17000... ✓ Success
[25/198] Uploading embeddings 17000-17100... ✓ Success
[26/198] Uploading embeddings 17100-17200... ✓ Success
[27/198] Uploading embeddings 17200-17300... ✓ Success
[28/198] Uploading embeddings 17300-17400... ✓ Success
[29/198] Uploading embeddings 17400-17500... ✓ Success
[30/198] Uploading embeddings 17500-17600... ✓ Success
[31/198] Uploading embeddings 17600-17700... ✓ Success
[32/198] Uploading embeddings 17700-17800... ✓ Success
[33/198] Uploading embeddings 17800-17900... ✓ Success
[34/198] Uploading embeddings 17900-18000... ✓ Success
[35/198] Uploading embeddings 18000-18100... ✓ Success
[36/198] Uploading embeddings 18100-18200... ✓ Success
[37/198] Uploading embeddings 18200-18300... ✓ Success
[38/198] Uploading embeddings 18300-18400... ✓ Success
[39/198] Uploading embeddings 18400-18500... ✓ Success
[40/198] Uploading embeddings 18500-18600... ✓ Success
[41/198] Uploading embeddings 18600-18700... ✓ Success
[42/198] Uploading embeddings 18700-18800... ✓ Success
[43/198] Uploading embeddings 18800-18900... ✓ Success
[44/198] Uploading embeddings 18900-19000... ✓ Success
[45/198] Uploading embeddings 19000-19100... ✓ Success
[46/198] Uploading embeddings 19100-19200... ✓ Success
[47/198] Uploading embeddings 19200-19300... ✓ Success
[48/198] Uploading embeddings 19300-19400... ✓ Success
[49/198] Uploading embeddings 19400-19500... ✓ Success
[50/198] Uploading embeddings 19500-19600... ✓ Success
[51/198] Uploading embeddings 19600-19700... ✓ Success
